,DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount,Media
60,2022-08-30 23:57:10+00:00,1564764195748560897," Dictators disarm the populace in the name of “safety”, you’re no different. I’ve registered my life long Democrat family to Republican and a few of my friends as well, my religious mother doesn’t appreciate your abortion stance, she never knew now she does.",JPepper36,en,,0,0,0,0,
61,2022-08-30 23:57:08+00:00,1564764186898472960," I'm a concealed carry card member,  he's not trying to take our guns completely, nice change they,   but I support abortion rights 100% and I support transgender rights all the way, I worry about our future so differently than you do",GypsySo45227508,en,,0,0,0,0,
62,2022-08-30 23:57:02+00:00,1564764159278850048,"
NEVER FORGET
GOP Minnesota Governor Candidates: “We Will Ban Abortion”
",Destroy_ALEC,en,['Minnestoa'],0,3,2,0,
63,2022-08-30 23:57:00+00:00,1564764153901748224,  is pro rapists and wants to prevent abortions for raped women.,Vangogh61,en,,0,0,0,0,
64,2022-08-30 23:57:00+00:00,1564764151150518274,"Abortion bans threaten essential medical training.

As  told  ""We're going to start having a hard time training residents to competence."" ",UCSFBixby,en,,0,1,7,0,
65,2022-08-30 23:56:53+00:00,1564764122763370497,Thanks to  for her  article on abortion doulas. It made for a wonderful discussion!,emilydcrews,en,,1,0,3,0,
66,2022-08-30 23:56:47+00:00,1564764096129548288,    You are free to believe what you want. But that doesn’t change where the public is. A majority (not everyone) are for abortion with exceptions and not past 20 weeks.,aggou,en,,1,0,0,0,
67,2022-08-30 23:56:46+00:00,1564764093982072838," highest rate of gun related crimes, history of voter suppression, state's one abortion clinic stopped providing abortions July, 2022, prohibits teaching CRT, passed anti-protest law in June and now has no drinkable water...
",prairielive,en,['MS'],0,0,1,0,
68,2022-08-30 23:56:45+00:00,1564764087602511872,  Woahhhh you genuinely think republicans never get abortions…?!?!,CurlTheSyfyGurl,en,,1,0,0,0,
69,2022-08-30 23:56:39+00:00,1564764065964204042, The only exceptions for abortion should be if the mother's life is in grave danger or if the baby is inviable and will 100% die.,saucemaster223,en,,0,0,0,0,
70,2022-08-30 23:56:37+00:00,1564764053842567170, Apparently your beliefs are not widely accepted in Florida. If you are for late term abortion as a form of birth control you are a fowl human being. ,loyalist555,en,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Fbcom_9XgAA7G7Y?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fbcom_9XgAA7G7Y?format=jpg&name=orig', altText=None)]"
71,2022-08-30 23:56:35+00:00,1564764046775263232,"  For my large Irish Catholic family,  abortion is their ONLY issue. Sickening.",MaryBC0608,en,,0,0,0,0,
72,2022-08-30 23:56:30+00:00,1564764027670396928,"  You support abortion-on-demand, public theft via student loan forgiveness, the destruction of the country via open borders, and transgender contagion -- so, yeah, I'll take your views on Christianity with a grain of salt.",GregHBlog,en,,1,0,0,0,
73,2022-08-30 23:56:27+00:00,1564764015359819776,"Don't know who you polled, I call BS on your 7 in 10.  St. Louis,  Kansas City, and possibly Columbia,  college towns, would be for murder of a helpless baby.  Rural areas do not want abortion",judy_wilmont,en,,0,0,0,0,
74,2022-08-30 23:56:27+00:00,1564764013757665280,Indiana abortion clinics sue to block state's near-total ban: ,ShiaKapos,en,,0,0,5,0,
75,2022-08-30 23:56:18+00:00,1564763977313161216,Rights teams sue to dam Indiana abortion ban By Reuters ,cryptoroz3732,en,,0,0,0,0,
76,2022-08-30 23:56:18+00:00,1564763977133047816," It has had massive brain drain and white flight since 1972. With respect, future Steve Jobses are not being born in Jackson. Look at what is there and multiply it by about two to three. Then, you should see what Jackson would be like if abortion were never legalized.",JosephFordCotto,en,,1,0,0,0,
77,2022-08-30 23:56:16+00:00,1564763966404022272,"  Yes, however in MI09 Abortion Rights wording strikes a huge nerve with the very conservative right throughout the district and only drives then more to vote (Unfortunately learned that the hard way in the old MI-10). Rights for All could be even better wording though ",erichaysforMI,en,,2,0,1,0,
78,2022-08-30 23:56:15+00:00,1564763963648253952,"    Canada treats abortion as a medical procedure ( because it is!) and allows it without restriction. How about we trust women and their doctors to decide when medical procedures are necessary, NOT the government. ",LooneeLuna,en,['RoevemberIsComing'],2,28,271,1,
79,2022-08-30 23:56:14+00:00,1564763960783634433,   Most abortions have nothing to do with health but about the mothers and family’s convenience.  The kids don’t get a choice.,PWMcDaniel,en,,0,0,0,0,
80,2022-08-30 23:56:12+00:00,1564763951501565954,"Despite Gov. J.B. Pritzker’s focus on abortion rights, prospects dimming for special legislative session before November election ",niranjanshahceo,en,,0,0,0,0,
81,2022-08-30 23:56:12+00:00,1564763949307936768,"Louisiana woman says she was denied an abortion after fetus developed rare condition: ""I was carrying my baby to bury my baby"" ",catlover0812,en,,1,1,3,0,
82,2022-08-30 23:56:09+00:00,1564763938662670337,"The Locust Abortion Technician tour was legendary, and rightfully so. It changed my life for the better, and what I wanted out of seeing bands live.",BrainiacSports,en,,1,0,0,0,
83,2022-08-30 23:56:03+00:00,1564763913031503872,"Have you changed your stance on abortion, Eric, or are you still for controlling women's bodies and their health care decisions?  Do you have anything to campaign with besides name-calling?  ",PaRock,en,,0,0,2,0,
84,2022-08-30 23:56:00+00:00,1564763899135664129,Rights groups sue to block Indiana abortion ban By Reuters ,exportain24,en,,0,0,0,0,
85,2022-08-30 23:55:57+00:00,1564763888532561922,  You are so right murder outside of self defense is NOT legal! However abortion is perfectly legal in many places within a certain amount of weeks.,CurlTheSyfyGurl,en,,1,0,0,0,
86,2022-08-30 23:55:54+00:00,1564763873659469824,  Lisa the vaccine has been shown to be almost a complete waste esp in younger age groups. Mr Birk believes abortion is wrong and states that clearly. I suspect he respects and empowers  his wife and daughters far more than you have a clue.,kyleaan,en,,1,0,0,0,
87,2022-08-30 23:55:53+00:00,1564763872355123205,"  Remember, back in the 90s when rescue groups were calling for violence (but quickly backed off when they found that a public that was ambivalent on abortion wasn't about killing doctors?) the GOP Congress just barely avoided naming Operation Rescue a terrorist group.",MikeMayakAuthor,en,,0,0,0,0,
